epoch,train_loss,validation_loss,test_loss
1,0.08988232035623041,0.06904528124464883,0.064240047087272
2,0.07535301486766616,0.06531833567553097,0.06137803403867616
3,0.06947819888591766,0.06181150260898802,0.05865861144330767
4,0.06564689245681431,0.05875574383470747,0.05633651278913021
5,0.060314062549624334,0.0561049911710951,0.054378504347470075
6,0.060357292031132895,0.052654368388983935,0.051677775465779834
7,0.05631436546181524,0.05046780904134115,0.05007938647435771
8,0.05614613754631475,0.04919048150380453,0.0491082893891467
9,0.05470082934859187,0.048390600416395396,0.048620295607381396
10,0.05226535042531268,0.04744352772831917,0.04788457892007298
11,0.05101498584587907,0.0473698607335488,0.04803470315204726
12,0.049532734853930255,0.045673016044828624,0.04675909669862853
13,0.049526747662660686,0.046189593979054026,0.04734279318816132
14,0.04760596312062685,0.0454259937008222,0.04676550088657273
15,0.048532000114751415,0.04506591707468033,0.0465942288024558
16,0.04866751361378403,0.04433192830118868,0.04610793540875117
17,0.046529746506103246,0.045362902184327446,0.0471848143885533
18,0.04596272080616896,0.04455606411728594,0.046602106342713036
19,0.045773660504194194,0.044032093344463244,0.04620180568761296
20,0.04633237144281698,0.044952882246838674,0.04713826874891917
21,0.04499579052072625,0.04430115988685025,0.046574042903052434
22,0.04507306525700314,0.04345561294919915,0.045854434164033994
23,0.04478789298513601,0.0438120077467627,0.04626862166656388
24,0.045412751477818154,0.04349002635313405,0.045976741032467947
25,0.043881604837816814,0.04300731544693311,0.045602852271662817
26,0.04447665542017582,0.04321040937470065,0.0458380366779036
27,0.045306192321139714,0.04282785745130645,0.04546097997162077
28,0.042977389641279395,0.04337899966372384,0.04604884899324841
29,0.04289993981635848,0.04349832836952475,0.046233003338178
30,0.04186919959651869,0.041844573285844594,0.044650112382239766
31,0.0425744314439768,0.0415596469408936,0.04437936511304644
32,0.042161537940765534,0.04319171255661382,0.0460223565912909
33,0.043082729675049,0.042180437594652176,0.04507629821697871
34,0.04225620133585708,0.041531693604257375,0.04450750889049636
35,0.041190287574779154,0.04103579247991244,0.044080455890960164
36,0.04196440991620685,0.042256872894035444,0.045124955682290926
37,0.03968028247702953,0.04148988198075029,0.04429516051378515
38,0.041461992229140085,0.041639008248845734,0.044562066387799054
39,0.04100342047249162,0.04124686908390787,0.0441753344817294
40,0.0413350616256858,0.040194235328170985,0.04339270066055986
41,0.0408227750381758,0.04021620833211475,0.043331152035130396
42,0.03997572970598243,0.03987379496296247,0.04293260288735231
43,0.038751530482671985,0.04101655735737748,0.04398712536527051
44,0.03878237956831621,0.04036800873776277,0.04332074088354906
45,0.038037986429624776,0.040615863270229764,0.04370522933701674
46,0.03961472429854925,0.03911859831876225,0.04226645123627451
47,0.04028558133299961,0.039536786990033254,0.04267542602287398
48,0.04050527300772279,0.040572935715317726,0.04359973884291119
49,0.03963752394152242,0.04015920414692826,0.04319788556959894
50,0.03947248933620231,0.03839248087671068,0.041573050949308604
